,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Volume
299,2016-03-16,7457.05,7508.0,7405.15,7498.75,201430035,7102.59,201430035.0
300,2016-03-17,7557.4,7585.3,7479.4,7512.55,247043954,9539.89,247043954.0
301,2016-03-18,7534.65,7613.6,7517.9,7604.35,244727490,9971.59,244727490.0
302,2016-03-21,7619.2,7713.55,7617.7,7704.25,202853386,8381.51,202853386.0
303,2016-03-22,7695.55,7728.2,7643.8,7714.9,215355848,8628.05,215355848.0
304,2016-03-23,7717.45,7726.85,7670.6,7716.5,205794773,7612.54,205794773.0
305,2016-03-28,7741.0,7749.4,7587.7,7615.1,249905118,10102.36,249905118.0
306,2016-03-29,7606.55,7652.9,7582.25,7597.0,223493457,10474.75,223493457.0
307,2016-03-30,7651.1,7741.95,7643.45,7735.2,239843751,9908.6,239843751.0
308,2016-03-31,7727.65,7777.6,7702.0,7738.4,391914059,15918.74,391914059.0
309,2016-04-01,7718.05,7740.15,7666.1,7713.05,189571551,8118.47,189571551.0
310,2016-04-04,7733.15,7764.45,7704.4,7758.8,160277940,6506.44,160277940.0
311,2016-04-05,7736.3,7736.3,7588.65,7603.2,210126897,8412.34,210126897.0
